instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,weather_Clear,weather_Light Snow,weather_Mist + Cloudy
23,2011-01-23,Springer,2011,1,0,0,Holiday,Clear,0.0965217,0.0988391,0.436522,0.2466,150,836,986,True,False,False
24,2011-01-24,Springer,2011,1,0,1,Working Day,Clear,0.0973913,0.11793,0.491739,0.15833,86,1330,1416,True,False,False
25,2011-01-25,Springer,2011,1,0,2,Working Day,Mist + Cloudy,0.223478,0.234526,0.616957,0.129796,186,1799,1985,False,False,True
26,2011-01-26,Springer,2011,1,0,3,Working Day,Light Snow,0.2175,0.2036,0.8625,0.29385,34,472,506,False,True,False
27,2011-01-27,Springer,2011,1,0,4,Working Day,Clear,0.195,0.2197,0.6875,0.113837,15,416,431,True,False,False
28,2011-01-28,Springer,2011,1,0,5,Working Day,Mist + Cloudy,0.203478,0.223317,0.793043,0.1233,38,1129,1167,False,False,True
29,2011-01-29,Springer,2011,1,0,6,Holiday,Clear,0.196522,0.212126,0.651739,0.145365,123,975,1098,True,False,False
30,2011-01-30,Springer,2011,1,0,0,Holiday,Clear,0.216522,0.250322,0.722174,0.0739826,140,956,1096,True,False,False
31,2011-01-31,Springer,2011,1,0,1,Working Day,Mist + Cloudy,0.180833,0.18625,0.60375,0.187192,42,1459,1501,False,False,True
32,2011-02-01,Springer,2011,2,0,2,Working Day,Mist + Cloudy,0.192174,0.23453,0.829565,0.053213,47,1313,1360,False,False,True
33,2011-02-02,Springer,2011,2,0,3,Working Day,Mist + Cloudy,0.26,0.254417,0.775417,0.264308,72,1454,1526,False,False,True
34,2011-02-03,Springer,2011,2,0,4,Working Day,Clear,0.186957,0.177878,0.437826,0.277752,61,1489,1550,True,False,False
35,2011-02-04,Springer,2011,2,0,5,Working Day,Mist + Cloudy,0.211304,0.228587,0.585217,0.127839,88,1620,1708,False,False,True
36,2011-02-05,Springer,2011,2,0,6,Holiday,Mist + Cloudy,0.233333,0.243058,0.929167,0.161079,100,905,1005,False,False,True
37,2011-02-06,Springer,2011,2,0,0,Holiday,Clear,0.285833,0.291671,0.568333,0.1418,354,1269,1623,True,False,False
38,2011-02-07,Springer,2011,2,0,1,Working Day,Clear,0.271667,0.303658,0.738333,0.0454083,120,1592,1712,True,False,False
39,2011-02-08,Springer,2011,2,0,2,Working Day,Clear,0.220833,0.198246,0.537917,0.36195,64,1466,1530,True,False,False
40,2011-02-09,Springer,2011,2,0,3,Working Day,Mist + Cloudy,0.134783,0.144283,0.494783,0.188839,53,1552,1605,False,False,True
41,2011-02-10,Springer,2011,2,0,4,Working Day,Clear,0.144348,0.149548,0.437391,0.221935,47,1491,1538,True,False,False
42,2011-02-11,Springer,2011,2,0,5,Working Day,Clear,0.189091,0.213509,0.506364,0.10855,149,1597,1746,True,False,False
43,2011-02-12,Springer,2011,2,0,6,Holiday,Clear,0.2225,0.232954,0.544167,0.203367,288,1184,1472,True,False,False
44,2011-02-13,Springer,2011,2,0,0,Holiday,Clear,0.316522,0.324113,0.457391,0.260883,397,1192,1589,True,False,False
45,2011-02-14,Springer,2011,2,0,1,Working Day,Clear,0.415,0.39835,0.375833,0.417908,208,1705,1913,True,False,False
46,2011-02-15,Springer,2011,2,0,2,Working Day,Clear,0.266087,0.254274,0.314348,0.291374,140,1675,1815,True,False,False
47,2011-02-16,Springer,2011,2,0,3,Working Day,Clear,0.318261,0.3162,0.423478,0.251791,218,1897,2115,True,False,False
48,2011-02-17,Springer,2011,2,0,4,Working Day,Clear,0.435833,0.428658,0.505,0.230104,259,2216,2475,True,False,False
49,2011-02-18,Springer,2011,2,0,5,Working Day,Clear,0.521667,0.511983,0.516667,0.264925,579,2348,2927,True,False,False
50,2011-02-19,Springer,2011,2,0,6,Holiday,Clear,0.399167,0.391404,0.187917,0.507463,532,1103,1635,True,False,False
51,2011-02-20,Springer,2011,2,0,0,Holiday,Clear,0.285217,0.27733,0.407826,0.223235,639,1173,1812,True,False,False
52,2011-02-21,Springer,2011,2,1,1,Holiday,Mist + Cloudy,0.303333,0.284075,0.605,0.307846,195,912,1107,False,False,True
53,2011-02-22,Springer,2011,2,0,2,Working Day,Clear,0.182222,0.186033,0.577778,0.195683,74,1376,1450,True,False,False
54,2011-02-23,Springer,2011,2,0,3,Working Day,Clear,0.221739,0.245717,0.423043,0.094113,139,1778,1917,True,False,False
55,2011-02-24,Springer,2011,2,0,4,Working Day,Mist + Cloudy,0.295652,0.289191,0.697391,0.250496,100,1707,1807,False,False,True
56,2011-02-25,Springer,2011,2,0,5,Working Day,Mist + Cloudy,0.364348,0.350461,0.712174,0.346539,120,1341,1461,False,False,True
57,2011-02-26,Springer,2011,2,0,6,Holiday,Clear,0.2825,0.282192,0.537917,0.186571,424,1545,1969,True,False,False
58,2011-02-27,Springer,2011,2,0,0,Holiday,Clear,0.343478,0.351109,0.68,0.125248,694,1708,2402,True,False,False
59,2011-02-28,Springer,2011,2,0,1,Working Day,Mist + Cloudy,0.407273,0.400118,0.876364,0.289686,81,1365,1446,False,False,True
60,2011-03-01,Springer,2011,3,0,2,Working Day,Clear,0.266667,0.263879,0.535,0.216425,137,1714,1851,True,False,False
61,2011-03-02,Springer,2011,3,0,3,Working Day,Clear,0.335,0.320071,0.449583,0.307833,231,1903,2134,True,False,False
62,2011-03-03,Springer,2011,3,0,4,Working Day,Clear,0.198333,0.200133,0.318333,0.225754,123,1562,1685,True,False,False
63,2011-03-04,Springer,2011,3,0,5,Working Day,Mist + Cloudy,0.261667,0.255679,0.610417,0.203346,214,1730,1944,False,False,True
64,2011-03-05,Springer,2011,3,0,6,Holiday,Mist + Cloudy,0.384167,0.378779,0.789167,0.251871,640,1437,2077,False,False,True
65,2011-03-06,Springer,2011,3,0,0,Holiday,Mist + Cloudy,0.376522,0.366252,0.948261,0.343287,114,491,605,False,False,True
66,2011-03-07,Springer,2011,3,0,1,Working Day,Clear,0.261739,0.238461,0.551304,0.341352,244,1628,1872,True,False,False
67,2011-03-08,Springer,2011,3,0,2,Working Day,Clear,0.2925,0.3024,0.420833,0.12065,316,1817,2133,True,False,False
68,2011-03-09,Springer,2011,3,0,3,Working Day,Mist + Cloudy,0.295833,0.286608,0.775417,0.22015,191,1700,1891,False,False,True
69,2011-03-10,Springer,2011,3,0,4,Working Day,Light Snow,0.389091,0.385668,0.0,0.261877,46,577,623,False,True,False
70,2011-03-11,Springer,2011,3,0,5,Working Day,Mist + Cloudy,0.316522,0.305,0.649565,0.23297,247,1730,1977,False,False,True
71,2011-03-12,Springer,2011,3,0,6,Holiday,Clear,0.329167,0.32575,0.594583,0.220775,724,1408,2132,True,False,False
72,2011-03-13,Springer,2011,3,0,0,Holiday,Clear,0.384348,0.380091,0.527391,0.270604,982,1435,2417,True,False,False
73,2011-03-14,Springer,2011,3,0,1,Working Day,Clear,0.325217,0.332,0.496957,0.136926,359,1687,2046,True,False,False
74,2011-03-15,Springer,2011,3,0,2,Working Day,Mist + Cloudy,0.317391,0.318178,0.655652,0.184309,289,1767,2056,False,False,True
75,2011-03-16,Springer,2011,3,0,3,Working Day,Mist + Cloudy,0.365217,0.36693,0.776522,0.203117,321,1871,2192,False,False,True
76,2011-03-17,Springer,2011,3,0,4,Working Day,Clear,0.415,0.410333,0.602917,0.209579,424,2320,2744,True,False,False
77,2011-03-18,Springer,2011,3,0,5,Working Day,Clear,0.54,0.527009,0.525217,0.231017,884,2355,3239,True,False,False
78,2011-03-19,Springer,2011,3,0,6,Holiday,Clear,0.4725,0.466525,0.379167,0.368167,1424,1693,3117,True,False,False
79,2011-03-20,Springer,2011,3,0,0,Holiday,Clear,0.3325,0.32575,0.47375,0.207721,1047,1424,2471,True,False,False
80,2011-03-21,Summer,2011,3,0,1,Working Day,Mist + Cloudy,0.430435,0.409735,0.737391,0.288783,401,1676,2077,False,False,True
81,2011-03-22,Summer,2011,3,0,2,Working Day,Clear,0.441667,0.440642,0.624583,0.22575,460,2243,2703,True,False,False
82,2011-03-23,Summer,2011,3,0,3,Working Day,Mist + Cloudy,0.346957,0.337939,0.839565,0.234261,203,1918,2121,False,False,True
83,2011-03-24,Summer,2011,3,0,4,Working Day,Mist + Cloudy,0.285,0.270833,0.805833,0.243787,166,1699,1865,False,False,True
84,2011-03-25,Summer,2011,3,0,5,Working Day,Clear,0.264167,0.256312,0.495,0.230725,300,1910,2210,True,False,False
85,2011-03-26,Summer,2011,3,0,6,Holiday,Clear,0.265833,0.257571,0.394167,0.209571,981,1515,2496,True,False,False
86,2011-03-27,Summer,2011,3,0,0,Holiday,Mist + Cloudy,0.253043,0.250339,0.493913,0.1843,472,1221,1693,False,False,True
87,2011-03-28,Summer,2011,3,0,1,Working Day,Clear,0.264348,0.257574,0.302174,0.212204,222,1806,2028,True,False,False
88,2011-03-29,Summer,2011,3,0,2,Working Day,Clear,0.3025,0.292908,0.314167,0.226996,317,2108,2425,True,False,False
89,2011-03-30,Summer,2011,3,0,3,Working Day,Mist + Cloudy,0.3,0.29735,0.646667,0.172888,168,1368,1536,False,False,True
90,2011-03-31,Summer,2011,3,0,4,Working Day,Light Snow,0.268333,0.257575,0.918333,0.217646,179,1506,1685,False,True,False
91,2011-04-01,Summer,2011,4,0,5,Working Day,Mist + Cloudy,0.3,0.283454,0.68625,0.258708,307,1920,2227,False,False,True
92,2011-04-02,Summer,2011,4,0,6,Holiday,Mist + Cloudy,0.315,0.315637,0.65375,0.197146,898,1354,2252,False,False,True
93,2011-04-03,Summer,2011,4,0,0,Holiday,Clear,0.378333,0.378767,0.48,0.182213,1651,1598,3249,True,False,False
94,2011-04-04,Summer,2011,4,0,1,Working Day,Clear,0.573333,0.542929,0.42625,0.385571,734,2381,3115,True,False,False
95,2011-04-05,Summer,2011,4,0,2,Working Day,Mist + Cloudy,0.414167,0.39835,0.642083,0.388067,167,1628,1795,False,False,True
96,2011-04-06,Summer,2011,4,0,3,Working Day,Clear,0.390833,0.387608,0.470833,0.263063,413,2395,2808,True,False,False
97,2011-04-07,Summer,2011,4,0,4,Working Day,Clear,0.4375,0.433696,0.602917,0.162312,571,2570,3141,True,False,False
98,2011-04-08,Summer,2011,4,0,5,Working Day,Mist + Cloudy,0.335833,0.324479,0.83625,0.226992,172,1299,1471,False,False,True
99,2011-04-09,Summer,2011,4,0,6,Holiday,Mist + Cloudy,0.3425,0.341529,0.8775,0.133083,879,1576,2455,False,False,True
100,2011-04-10,Summer,2011,4,0,0,Holiday,Mist + Cloudy,0.426667,0.426737,0.8575,0.146767,1188,1707,2895,False,False,True
101,2011-04-11,Summer,2011,4,0,1,Working Day,Mist + Cloudy,0.595652,0.565217,0.716956,0.324474,855,2493,3348,False,False,True
102,2011-04-12,Summer,2011,4,0,2,Working Day,Mist + Cloudy,0.5025,0.493054,0.739167,0.274879,257,1777,2034,False,False,True
103,2011-04-13,Summer,2011,4,0,3,Working Day,Mist + Cloudy,0.4125,0.417283,0.819167,0.250617,209,1953,2162,False,False,True
104,2011-04-14,Summer,2011,4,0,4,Working Day,Clear,0.4675,0.462742,0.540417,0.1107,529,2738,3267,True,False,False
105,2011-04-15,Summer,2011,4,1,5,Holiday,Clear,0.446667,0.441913,0.67125,0.226375,642,2484,3126,True,False,False
106,2011-04-16,Summer,2011,4,0,6,Holiday,Light Snow,0.430833,0.425492,0.888333,0.340808,121,674,795,False,True,False
107,2011-04-17,Summer,2011,4,0,0,Holiday,Clear,0.456667,0.445696,0.479583,0.303496,1558,2186,3744,True,False,False
108,2011-04-18,Summer,2011,4,0,1,Working Day,Clear,0.5125,0.503146,0.5425,0.163567,669,2760,3429,True,False,False
109,2011-04-19,Summer,2011,4,0,2,Working Day,Mist + Cloudy,0.505833,0.489258,0.665833,0.157971,409,2795,3204,False,False,True
110,2011-04-20,Summer,2011,4,0,3,Working Day,Clear,0.595,0.564392,0.614167,0.241925,613,3331,3944,True,False,False
111,2011-04-21,Summer,2011,4,0,4,Working Day,Clear,0.459167,0.453892,0.407083,0.325258,745,3444,4189,True,False,False
112,2011-04-22,Summer,2011,4,0,5,Working Day,Mist + Cloudy,0.336667,0.321954,0.729583,0.219521,177,1506,1683,False,False,True
113,2011-04-23,Summer,2011,4,0,6,Holiday,Mist + Cloudy,0.46,0.450121,0.887917,0.230725,1462,2574,4036,False,False,True
114,2011-04-24,Summer,2011,4,0,0,Holiday,Mist + Cloudy,0.581667,0.551763,0.810833,0.192175,1710,2481,4191,False,False,True
115,2011-04-25,Summer,2011,4,0,1,Working Day,Clear,0.606667,0.5745,0.776667,0.185333,773,3300,4073,True,False,False
116,2011-04-26,Summer,2011,4,0,2,Working Day,Clear,0.631667,0.594083,0.729167,0.3265,678,3722,4400,True,False,False
117,2011-04-27,Summer,2011,4,0,3,Working Day,Mist + Cloudy,0.62,0.575142,0.835417,0.3122,547,3325,3872,False,False,True
118,2011-04-28,Summer,2011,4,0,4,Working Day,Mist + Cloudy,0.6175,0.578929,0.700833,0.320908,569,3489,4058,False,False,True
119,2011-04-29,Summer,2011,4,0,5,Working Day,Clear,0.51,0.497463,0.457083,0.240063,878,3717,4595,True,False,False
120,2011-04-30,Summer,2011,4,0,6,Holiday,Clear,0.4725,0.464021,0.503333,0.235075,1965,3347,5312,True,False,False
121,2011-05-01,Summer,2011,5,0,0,Holiday,Mist + Cloudy,0.451667,0.448204,0.762083,0.106354,1138,2213,3351,False,False,True
122,2011-05-02,Summer,2011,5,0,1,Working Day,Mist + Cloudy,0.549167,0.532833,0.73,0.183454,847,3554,4401,False,False,True
123,2011-05-03,Summer,2011,5,0,2,Working Day,Mist + Cloudy,0.616667,0.582079,0.697083,0.342667,603,3848,4451,False,False,True
124,2011-05-04,Summer,2011,5,0,3,Working Day,Mist + Cloudy,0.414167,0.40465,0.737083,0.328996,255,2378,2633,False,False,True
125,2011-05-05,Summer,2011,5,0,4,Working Day,Clear,0.459167,0.441917,0.444167,0.295392,614,3819,4433,True,False,False
126,2011-05-06,Summer,2011,5,0,5,Working Day,Clear,0.479167,0.474117,0.59,0.228246,894,3714,4608,True,False,False
127,2011-05-07,Summer,2011,5,0,6,Holiday,Clear,0.52,0.512621,0.54125,0.16045,1612,3102,4714,True,False,False
128,2011-05-08,Summer,2011,5,0,0,Holiday,Clear,0.528333,0.518933,0.631667,0.0746375,1401,2932,4333,True,False,False
129,2011-05-09,Summer,2011,5,0,1,Working Day,Clear,0.5325,0.525246,0.58875,0.176,664,3698,4362,True,False,False
130,2011-05-10,Summer,2011,5,0,2,Working Day,Clear,0.5325,0.522721,0.489167,0.115671,694,4109,4803,True,False,False
131,2011-05-11,Summer,2011,5,0,3,Working Day,Clear,0.5425,0.5284,0.632917,0.120642,550,3632,4182,True,False,False
132,2011-05-12,Summer,2011,5,0,4,Working Day,Clear,0.535,0.523363,0.7475,0.189667,695,4169,4864,True,False,False
133,2011-05-13,Summer,2011,5,0,5,Working Day,Mist + Cloudy,0.5125,0.4943,0.863333,0.179725,692,3413,4105,False,False,True
134,2011-05-14,Summer,2011,5,0,6,Holiday,Mist + Cloudy,0.520833,0.500629,0.9225,0.13495,902,2507,3409,False,False,True
135,2011-05-15,Summer,2011,5,0,0,Holiday,Mist + Cloudy,0.5625,0.536,0.867083,0.152979,1582,2971,4553,False,False,True
136,2011-05-16,Summer,2011,5,0,1,Working Day,Clear,0.5775,0.550512,0.787917,0.126871,773,3185,3958,True,False,False
137,2011-05-17,Summer,2011,5,0,2,Working Day,Mist + Cloudy,0.561667,0.538529,0.837917,0.277354,678,3445,4123,False,False,True
138,2011-05-18,Summer,2011,5,0,3,Working Day,Mist + Cloudy,0.55,0.527158,0.87,0.201492,536,3319,3855,False,False,True
139,2011-05-19,Summer,2011,5,0,4,Working Day,Mist + Cloudy,0.530833,0.510742,0.829583,0.108213,735,3840,4575,False,False,True
140,2011-05-20,Summer,2011,5,0,5,Working Day,Clear,0.536667,0.529042,0.719583,0.125013,909,4008,4917,True,False,False
141,2011-05-21,Summer,2011,5,0,6,Holiday,Clear,0.6025,0.571975,0.626667,0.12065,2258,3547,5805,True,False,False
142,2011-05-22,Summer,2011,5,0,0,Holiday,Clear,0.604167,0.5745,0.749583,0.148008,1576,3084,4660,True,False,False
143,2011-05-23,Summer,2011,5,0,1,Working Day,Mist + Cloudy,0.631667,0.590296,0.81,0.233842,836,3438,4274,False,False,True
144,2011-05-24,Summer,2011,5,0,2,Working Day,Mist + Cloudy,0.66,0.604813,0.740833,0.207092,659,3833,4492,False,False,True
145,2011-05-25,Summer,2011,5,0,3,Working Day,Clear,0.660833,0.615542,0.69625,0.154233,740,4238,4978,True,False,False
146,2011-05-26,Summer,2011,5,0,4,Working Day,Clear,0.708333,0.654688,0.6775,0.199642,758,3919,4677,True,False,False
147,2011-05-27,Summer,2011,5,0,5,Working Day,Clear,0.681667,0.637008,0.65375,0.240679,871,3808,4679,True,False,False
148,2011-05-28,Summer,2011,5,0,6,Holiday,Clear,0.655833,0.612379,0.729583,0.230092,2001,2757,4758,True,False,False
149,2011-05-29,Summer,2011,5,0,0,Holiday,Clear,0.6675,0.61555,0.81875,0.213938,2355,2433,4788,True,False,False
150,2011-05-30,Summer,2011,5,1,1,Holiday,Clear,0.733333,0.671092,0.685,0.131225,1549,2549,4098,True,False,False
151,2011-05-31,Summer,2011,5,0,2,Working Day,Clear,0.775,0.725383,0.636667,0.111329,673,3309,3982,True,False,False
152,2011-06-01,Summer,2011,6,0,3,Working Day,Mist + Cloudy,0.764167,0.720967,0.677083,0.207092,513,3461,3974,False,False,True
153,2011-06-02,Summer,2011,6,0,4,Working Day,Clear,0.715,0.643942,0.305,0.292287,736,4232,4968,True,False,False
154,2011-06-03,Summer,2011,6,0,5,Working Day,Clear,0.62,0.587133,0.354167,0.253121,898,4414,5312,True,False,False
155,2011-06-04,Summer,2011,6,0,6,Holiday,Clear,0.635,0.594696,0.45625,0.123142,1869,3473,5342,True,False,False
156,2011-06-05,Summer,2011,6,0,0,Holiday,Mist + Cloudy,0.648333,0.616804,0.6525,0.138692,1685,3221,4906,False,False,True
157,2011-06-06,Summer,2011,6,0,1,Working Day,Clear,0.678333,0.621858,0.6,0.121896,673,3875,4548,True,False,False
158,2011-06-07,Summer,2011,6,0,2,Working Day,Clear,0.7075,0.65595,0.597917,0.187808,763,4070,4833,True,False,False
159,2011-06-08,Summer,2011,6,0,3,Working Day,Clear,0.775833,0.727279,0.622083,0.136817,676,3725,4401,True,False,False
160,2011-06-09,Summer,2011,6,0,4,Working Day,Mist + Cloudy,0.808333,0.757579,0.568333,0.149883,563,3352,3915,False,False,True
161,2011-06-10,Summer,2011,6,0,5,Working Day,Clear,0.755,0.703292,0.605,0.140554,815,3771,4586,True,False,False
162,2011-06-11,Summer,2011,6,0,6,Holiday,Clear,0.725,0.678038,0.654583,0.15485,1729,3237,4966,True,False,False
163,2011-06-12,Summer,2011,6,0,0,Holiday,Clear,0.6925,0.643325,0.747917,0.163567,1467,2993,4460,True,False,False
164,2011-06-13,Summer,2011,6,0,1,Working Day,Clear,0.635,0.601654,0.494583,0.30535,863,4157,5020,True,False,False
165,2011-06-14,Summer,2011,6,0,2,Working Day,Clear,0.604167,0.591546,0.507083,0.269283,727,4164,4891,True,False,False
166,2011-06-15,Summer,2011,6,0,3,Working Day,Clear,0.626667,0.587754,0.471667,0.167912,769,4411,5180,True,False,False
167,2011-06-16,Summer,2011,6,0,4,Working Day,Mist + Cloudy,0.628333,0.595346,0.688333,0.206471,545,3222,3767,False,False,True
168,2011-06-17,Summer,2011,6,0,5,Working Day,Clear,0.649167,0.600383,0.735833,0.143029,863,3981,4844,True,False,False
169,2011-06-18,Summer,2011,6,0,6,Holiday,Clear,0.696667,0.643954,0.670417,0.119408,1807,3312,5119,True,False,False
170,2011-06-19,Summer,2011,6,0,0,Holiday,Mist + Cloudy,0.699167,0.645846,0.666667,0.102,1639,3105,4744,False,False,True
171,2011-06-20,Summer,2011,6,0,1,Working Day,Mist + Cloudy,0.635,0.595346,0.74625,0.155475,699,3311,4010,False,False,True
172,2011-06-21,Fall,2011,6,0,2,Working Day,Mist + Cloudy,0.680833,0.637646,0.770417,0.171025,774,4061,4835,False,False,True
173,2011-06-22,Fall,2011,6,0,3,Working Day,Clear,0.733333,0.693829,0.7075,0.172262,661,3846,4507,True,False,False
174,2011-06-23,Fall,2011,6,0,4,Working Day,Mist + Cloudy,0.728333,0.693833,0.703333,0.238804,746,4044,4790,False,False,True
175,2011-06-24,Fall,2011,6,0,5,Working Day,Clear,0.724167,0.656583,0.573333,0.222025,969,4022,4991,True,False,False
176,2011-06-25,Fall,2011,6,0,6,Holiday,Clear,0.695,0.643313,0.483333,0.209571,1782,3420,5202,True,False,False
177,2011-06-26,Fall,2011,6,0,0,Holiday,Clear,0.68,0.637629,0.513333,0.0945333,1920,3385,5305,True,False,False
178,2011-06-27,Fall,2011,6,0,1,Working Day,Mist + Cloudy,0.6825,0.637004,0.658333,0.107588,854,3854,4708,False,False,True
179,2011-06-28,Fall,2011,6,0,2,Working Day,Clear,0.744167,0.692558,0.634167,0.144283,732,3916,4648,True,False,False
180,2011-06-29,Fall,2011,6,0,3,Working Day,Clear,0.728333,0.654688,0.497917,0.261821,848,4377,5225,True,False,False
181,2011-06-30,Fall,2011,6,0,4,Working Day,Clear,0.696667,0.637008,0.434167,0.185312,1027,4488,5515,True,False,False
182,2011-07-01,Fall,2011,7,0,5,Working Day,Clear,0.7225,0.652162,0.39625,0.102608,1246,4116,5362,True,False,False
183,2011-07-02,Fall,2011,7,0,6,Holiday,Clear,0.738333,0.667308,0.444583,0.115062,2204,2915,5119,True,False,False
184,2011-07-03,Fall,2011,7,0,0,Holiday,Mist + Cloudy,0.716667,0.668575,0.6825,0.228858,2282,2367,4649,False,False,True
185,2011-07-04,Fall,2011,7,1,1,Holiday,Mist + Cloudy,0.726667,0.665417,0.637917,0.0814792,3065,2978,6043,False,False,True
186,2011-07-05,Fall,2011,7,0,2,Working Day,Clear,0.746667,0.696338,0.590417,0.126258,1031,3634,4665,True,False,False
187,2011-07-06,Fall,2011,7,0,3,Working Day,Clear,0.72,0.685633,0.743333,0.149883,784,3845,4629,True,False,False
188,2011-07-07,Fall,2011,7,0,4,Working Day,Clear,0.75,0.686871,0.65125,0.1592,754,3838,4592,True,False,False
189,2011-07-08,Fall,2011,7,0,5,Working Day,Mist + Cloudy,0.709167,0.670483,0.757917,0.225129,692,3348,4040,False,False,True
190,2011-07-09,Fall,2011,7,0,6,Holiday,Clear,0.733333,0.664158,0.609167,0.167912,1988,3348,5336,True,False,False
191,2011-07-10,Fall,2011,7,0,0,Holiday,Clear,0.7475,0.690025,0.578333,0.183471,1743,3138,4881,True,False,False
192,2011-07-11,Fall,2011,7,0,1,Working Day,Clear,0.7625,0.729804,0.635833,0.282337,723,3363,4086,True,False,False
193,2011-07-12,Fall,2011,7,0,2,Working Day,Clear,0.794167,0.739275,0.559167,0.200254,662,3596,4258,True,False,False
194,2011-07-13,Fall,2011,7,0,3,Working Day,Clear,0.746667,0.689404,0.631667,0.146133,748,3594,4342,True,False,False
195,2011-07-14,Fall,2011,7,0,4,Working Day,Clear,0.680833,0.635104,0.47625,0.240667,888,4196,5084,True,False,False
196,2011-07-15,Fall,2011,7,0,5,Working Day,Clear,0.663333,0.624371,0.59125,0.182833,1318,4220,5538,True,False,False
197,2011-07-16,Fall,2011,7,0,6,Holiday,Clear,0.686667,0.638263,0.585,0.208342,2418,3505,5923,True,False,False
198,2011-07-17,Fall,2011,7,0,0,Holiday,Clear,0.719167,0.669833,0.604167,0.245033,2006,3296,5302,True,False,False
199,2011-07-18,Fall,2011,7,0,1,Working Day,Clear,0.746667,0.703925,0.65125,0.215804,841,3617,4458,True,False,False
200,2011-07-19,Fall,2011,7,0,2,Working Day,Clear,0.776667,0.747479,0.650417,0.1306,752,3789,4541,True,False,False
201,2011-07-20,Fall,2011,7,0,3,Working Day,Clear,0.768333,0.74685,0.707083,0.113817,644,3688,4332,True,False,False
202,2011-07-21,Fall,2011,7,0,4,Working Day,Mist + Cloudy,0.815,0.826371,0.69125,0.222021,632,3152,3784,False,False,True
203,2011-07-22,Fall,2011,7,0,5,Working Day,Clear,0.848333,0.840896,0.580417,0.1331,562,2825,3387,True,False,False
204,2011-07-23,Fall,2011,7,0,6,Holiday,Clear,0.849167,0.804287,0.5,0.131221,987,2298,3285,True,False,False
205,2011-07-24,Fall,2011,7,0,0,Holiday,Clear,0.83,0.794829,0.550833,0.169171,1050,2556,3606,True,False,False
206,2011-07-25,Fall,2011,7,0,1,Working Day,Clear,0.743333,0.720958,0.757083,0.0908083,568,3272,3840,True,False,False
